,Type,Age,Gender,Color1,Color2,Color3,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Fee,State,VideoAmt,PhotoAmt,DesSem,DesSemCat,NameSem,NameSemCat,Description_SIZE,Description_VALUABLE_SIZE,Description_SCORE,Object_SIZE,Object_COLOR_H,Object_COLOR_S,Object_COLOR_V,Image_WIDTH,Image_HEIGHT,AdoptionSpeed,Mixed,BreedName,BreedNum
0,2,0,1,1,7,0,1,1,2,2,2,1,10,41326,0,1,0.130357143,1,0,0,69,13,1.8,9,115,88,152,360,480,0,0,Tabby,1
1,2,0,1,1,2,0,2,2,3,3,3,1,0,41401,0,2,0.1,1,0,0,23,2,-0.5,17,38,98,94,349,388,0,1,Mixed_Breed,0
2,1,0,1,2,7,0,2,2,1,1,2,1,0,41326,0,7,0.261904762,1,0,0,69,13,1.4,68,18,68,135,357,342,1,1,Mixed_Breed,0
3,1,0,2,1,2,0,2,1,1,1,2,1,15,41401,0,8,0.341145833,1,0,0,25,6,0.9,77,15,75,142,375,325,0,1,Mixed_Breed,0
4,1,0,1,1,0,0,2,1,2,2,2,1,0,41326,0,3,0.4,1,0,0,81,13,3.5,29,38,86,155,516,444,0,1,Mixed_Breed,0
5,2,0,2,5,6,0,2,1,2,2,2,1,0,41326,0,2,0,0,0,0,18,2,-0.2,20,91,30,126,360,480,0,1,Mixed_Breed,0
6,2,2,1,1,0,0,2,3,2,2,3,1,25,41326,0,3,0.25,1,0,0,78,19,0.5,30,31,79,93,400,300,0,1,Mixed_Breed,0
7,2,0,2,6,0,0,2,2,2,2,2,1,0,41326,0,6,0.038888889,1,0,0,13,4,0.2,60,46,66,124,400,300,0,1,Mixed_Breed,0
8,2,2,2,1,7,0,2,2,3,3,3,1,0,41326,0,2,0.21375,1,0,0,45,4,0.8,20,46,63,128,455,496,1,1,Mixed_Breed,0
9,1,0,1,1,2,7,2,1,2,1,2,1,0,41401,0,7,0.138888889,1,0,0,12,3,0.8,61,47,92,131,333,486,0,1,Mixed_Breed,0
10,2,0,2,1,2,5,3,3,1,1,2,1,5,41326,0,2,0.065798319,1,0,0,126,14,3.6,20,26,90,137,315,480,0,1,Mixed_Breed,0
11,1,0,1,2,5,6,2,3,1,1,2,1,0,41326,0,1,0.408333333,1,0,0,49,6,2.3,9,84,55,141,300,400,0,1,Mixed_Breed,0
12,1,0,2,2,5,7,2,2,3,3,3,1,0,41401,0,2,0.166666667,1,0,0,71,22,1.3,19,18,67,109,271,480,0,1,Mixed_Breed,0
13,1,2,1,1,7,0,2,2,3,3,3,1,0,41326,0,2,0.502083333,1,0,0,68,15,1.7,20,21,53,154,359,480,1,0,Terrier,2
14,2,1,2,2,0,0,1,1,1,1,1,1,0,41326,0,1,0.4375,1,0,0,8,0,0.9,10,43,55,128,300,400,1,1,Mixed_Breed,0
15,1,1,2,2,0,0,2,1,2,1,1,1,1,41330,0,2,0.213333333,1,0,0,71,15,0.9,17,55,70,135,225,300,1,1,Mixed_Breed,0
16,1,0,2,1,0,0,2,1,2,1,2,1,0,41401,0,8,0.300595238,1,0,0,139,23,0.6,80,76,53,105,325,375,0,1,Mixed_Breed,0
17,1,2,2,2,7,0,2,2,2,1,1,1,0,41326,0,7,0.427777778,1,0,0,79,14,2,57,20,91,121,400,300,0,1,Mixed_Breed,0
18,1,1,2,1,2,7,2,2,1,1,1,1,0,41326,0,0,0.191666667,1,0,0,65,11,1.5,0,-1,-1,-1,-1,-1,1,1,Mixed_Breed__Hound,3
19,2,0,1,2,7,0,1,1,2,1,2,1,0,41401,0,19,0.75,1,0,0,42,6,0.8,186,69,81,123,375,332,0,1,Mixed_Breed,0
20,2,2,1,3,0,0,3,2,1,1,1,1,0,41326,0,3,0.160396825,1,0,0,64,10,2.1,30,22,148,152,300,400,0,0,Persian,4
21,2,0,1,3,0,0,2,2,2,2,2,1,0,41401,0,11,0.35,1,0,0,9,1,0.8,110,15,95,161,400,267,0,1,Persian__Mixed_Breed,5
22,2,0,2,1,0,0,2,1,2,2,2,1,0,41326,0,2,0.5,1,0,0,19,4,0,16,15,68,147,360,480,0,1,Mixed_Breed,0
23,1,2,1,1,2,0,3,1,1,1,2,1,0,41326,0,0,0.288888889,1,0,0,30,5,0.5,0,-1,-1,-1,-1,-1,1,0,Rottweiler,6
24,2,0,2,2,7,0,1,1,2,1,2,1,0,41327,0,1,0.05,1,0,0,54,11,1.1,10,52,146,140,400,400,0,1,Mixed_Breed,0
25,2,0,1,1,0,0,1,1,2,2,2,1,0,41361,0,1,0,0,0,0,-1,-1,-1,10,132,88,109,400,266,0,1,Mixed_Breed,0
26,2,0,2,1,7,0,1,1,1,2,2,1,0,41327,0,5,0,0,0,0,3,1,0,50,80,43,110,400,300,1,1,Mixed_Breed,0
27,2,2,2,6,0,0,2,3,2,2,2,1,0,41326,0,5,0.5,1,0,0,4,2,0,50,53,113,124,399,341,0,1,Mixed_Breed,0
28,2,0,2,2,0,0,1,2,2,2,2,1,0,41326,0,3,0.625,1,0,0,-1,-1,-1,30,49,64,121,333,366,0,1,Mixed_Breed,0
29,1,2,1,1,0,0,2,1,2,2,2,1,0,41336,0,4,0.229166667,1,0,0,44,5,2.3,38,99,68,148,349,350,0,1,Mixed_Breed,0
30,1,2,1,5,0,0,2,2,1,1,2,1,0,41326,0,1,0.502083333,1,0,0,16,3,0.9,10,18,46,156,127,225,1,1,Mixed_Breed,0
31,2,0,2,7,0,0,2,2,2,1,2,1,0,41326,0,13,-0.0125,-1,0,0,176,20,0.9,130,18,97,158,640,442,1,1,Mixed_Breed,0
32,1,0,1,7,0,0,2,1,1,1,1,1,0,41401,0,6,0.118055556,1,0,0,44,7,1.6,58,80,25,135,334,366,1,1,Jack_Russell_Terrier__Mixed_Breed,7
33,1,2,1,2,7,0,2,2,2,1,1,1,0,41336,0,2,0.35,1,0,0,38,6,0.9,19,63,37,129,203,360,1,1,Mixed_Breed,0
34,2,0,1,4,7,0,1,3,1,1,2,1,0,41326,0,13,0.196666667,1,0,0,78,10,2.5,118,59,43,141,339,259,1,1,Mixed_Breed,0
35,1,2,2,2,7,0,2,1,1,1,1,1,0,41326,0,3,0.181481481,1,0,0,48,8,1.7,23,19,90,107,516,480,1,1,Mixed_Breed,0
36,2,2,1,1,2,7,3,3,1,1,1,1,0,41326,0,3,0.145864528,1,0,0,90,13,0.8,30,48,54,138,344,344,0,1,Mixed_Breed,0
37,2,1,1,1,2,7,2,1,1,1,1,1,10,41401,0,1,0.208333333,1,0,0,15,1,0.8,10,107,105,181,266,400,1,1,Mixed_Breed,0
38,1,0,1,2,7,0,2,1,1,1,2,1,0,41326,0,3,0.44,1,0,0,54,9,0.3,30,74,111,142,270,480,1,1,Mixed_Breed,0
39,1,0,2,2,7,0,1,1,3,3,3,2,0,41326,0,0,0.327606061,1,-0.4,-1,52,8,1.2,0,-1,-1,-1,-1,-1,1,1,Mixed_Breed,0
40,2,0,1,1,7,0,2,1,2,1,2,1,3,41326,0,4,0.074702381,1,0,0,119,16,1.8,33,86,107,115,640,600,1,1,Mixed_Breed,0
41,1,2,2,5,0,0,2,2,1,1,1,1,0,41326,0,2,0.219047619,1,0,0,27,5,0.9,20,26,49,134,400,270,0,1,Mixed_Breed,0
42,1,0,1,5,0,0,3,2,2,2,2,1,0,41326,0,3,0.329166667,1,0,0,22,5,1.3,27,75,51,106,127,225,0,1,Mixed_Breed,0
43,2,0,2,4,0,0,2,1,2,2,2,1,0,41326,0,5,0.145,1,0,0,53,11,0.3,47,35,56,137,400,300,0,1,Mixed_Breed,0
44,1,1,1,2,5,0,2,1,1,1,3,1,0,41327,0,2,0.219047619,1,0,0,70,14,2.4,14,42,70,154,500,560,1,1,Mixed_Breed,0
45,1,2,2,2,5,0,2,1,2,2,1,1,0,41326,0,2,0.152777778,1,0,0,94,15,-1.1,20,40,88,175,379,480,1,1,Mixed_Breed,0
46,1,0,1,1,2,0,2,2,2,2,2,1,0,41327,0,5,0.525,1,0,0,25,8,0.2,47,50,95,117,359,320,0,1,Mixed_Breed,0
47,1,2,2,2,5,0,2,2,1,1,2,1,0,41326,0,5,0.2,1,0,0,5,2,-0.2,50,50,65,142,339,360,0,0,Shih_Tzu,8
48,2,0,2,2,0,0,2,1,2,2,2,1,0,41324,0,1,0.6,1,0,0,7,1,0.9,10,135,61,96,400,300,1,1,Mixed_Breed,0
49,2,1,2,2,7,0,2,1,2,2,2,1,0,41401,0,1,0.148611111,1,0,0,62,11,0.9,10,12,60,111,400,300,0,1,Mixed_Breed,0
50,1,2,1,1,3,6,2,2,1,1,1,1,0,41401,0,3,0.451439394,1,0,0,28,5,2.1,30,57,76,145,400,491,1,1,Mixed_Breed,0
51,1,0,2,1,2,0,2,2,2,1,2,1,0,41326,0,1,0,0,0,0,3,2,0,10,35,98,127,270,480,1,1,Mixed_Breed,0
52,1,0,1,1,2,7,1,1,1,3,2,1,0,41401,0,5,0.176785714,1,0,0,43,12,0.9,43,55,50,121,380,320,0,0,Labrador_Retriever,9
53,1,0,1,1,2,0,1,1,1,1,2,1,0,41326,0,3,-0.007777778,-1,0,0,37,4,-0.1,28,41,59,128,640,640,1,1,Mixed_Breed,0
54,1,0,2,2,5,0,2,1,2,1,2,1,0,41336,0,1,0.063055556,1,0,0,30,4,1.2,10,41,84,101,225,399,0,1,Mixed_Breed,0
55,1,2,2,2,0,0,2,1,1,1,1,1,0,41326,0,3,0.162222222,1,0,0,25,3,0.7,25,51,79,136,453,480,1,1,Mixed_Breed,0
56,1,0,1,2,0,0,2,2,1,1,2,1,0,41326,0,5,0,0,0,0,2,1,0,43,16,110,113,566,384,0,1,Mixed_Breed,0
57,1,0,2,2,7,0,2,1,1,1,2,1,0,41326,0,1,0.25,1,0,0,40,5,-0.1,10,52,70,107,640,360,1,1,Mixed_Breed,0
58,1,0,2,1,2,0,2,1,1,2,2,1,0,41327,0,1,0.083333333,1,0,0,36,7,0.9,10,71,92,125,400,261,1,1,Mixed_Breed,0
59,1,0,1,1,2,0,1,3,1,1,3,1,25,41326,0,2,0.475,1,0,0,48,5,1.6,20,34,130,132,226,400,0,0,Silky_Terrier,10
60,1,0,1,1,7,0,2,2,2,1,2,1,0,41325,0,1,0.64,1,0,0,36,8,1.2,10,37,77,134,360,480,0,1,Mixed_Breed,0
61,1,0,1,5,0,0,2,2,3,3,2,1,0,41326,0,3,0.45,1,0,0,18,4,1.4,29,27,61,152,516,400,1,1,Mixed_Breed__Labrador_Retriever,11
62,2,1,2,5,7,0,2,2,2,1,2,1,5,41326,0,4,0.3,1,0,0,21,5,0.8,39,25,67,100,316,375,1,1,Mixed_Breed,0
63,2,2,2,1,2,0,2,3,2,2,2,1,0,41326,0,2,0.025,1,0,0,28,2,1,19,63,77,138,360,480,1,0,Bombay,12
64,1,0,1,1,2,0,3,2,3,3,3,1,0,41326,0,4,0.368181818,1,0,0,57,15,0.6,38,17,62,125,360,480,0,1,Rottweiler__Mixed_Breed,13
65,1,2,2,5,0,0,2,2,1,1,1,1,0,41330,3,11,0.107455507,1,0,0,283,71,0.8,93,50,120,146,375,318,1,1,Mixed_Breed,0
66,1,0,1,1,7,0,2,1,1,1,2,1,0,41326,4,18,0.082920829,1,0,0,228,41,3.3,161,30,77,133,254,305,1,1,Mixed_Breed__Dalmatian,14
67,1,0,1,2,0,0,2,1,2,2,2,1,0,41330,0,5,0.244136364,1,0,0,119,28,0.8,50,71,144,183,400,380,1,1,Mixed_Breed,0
68,2,2,1,4,0,0,3,1,2,2,2,2,0,41324,0,12,0,0,0,0,-1,-1,-1,118,70,70,160,392,313,1,1,Mixed_Breed,0
69,2,2,2,2,4,0,2,1,2,2,1,1,0,41326,0,1,0,0,0,0,4,3,-0.2,10,31,40,125,360,480,1,1,Mixed_Breed,0
70,1,0,1,1,2,0,2,1,2,2,2,1,0,41327,0,2,0.212121212,1,0,0,47,11,0.2,19,54,47,119,400,299,1,1,Mixed_Breed,0
71,2,2,2,1,6,0,3,3,1,1,2,1,0,41401,0,3,0,0,0,0,-1,-1,-1,30,82,120,137,400,301,0,0,Persian,4
72,1,0,2,2,0,0,1,3,3,1,1,1,0,41401,0,3,0.220833333,1,0,0,33,9,1.2,30,22,59,108,310,355,1,0,Silky_Terrier,10
73,1,2,1,2,7,0,2,1,2,2,2,1,0,41336,0,3,0,0,0,0,16,3,0,25,23,91,129,583,483,1,1,Mixed_Breed,0
74,2,0,1,1,7,0,2,2,3,3,2,1,0,41326,0,1,0,0,0,0,3,1,0.1,10,40,26,115,400,300,0,1,Mixed_Breed,0
75,1,2,2,1,6,7,2,2,3,3,1,1,0,41326,0,2,0.428935185,1,0,0,84,14,2.7,20,93,40,112,400,346,0,1,Husky__Mixed_Breed,15
76,1,2,1,6,0,0,2,2,1,1,1,1,0,41401,0,3,0.355,1,0,0,44,8,2.4,30,17,59,110,453,533,1,0,Schnauzer,16
77,1,0,2,1,2,7,2,2,1,1,2,1,0,41326,0,1,0,0,0,0,2,1,0,8,11,102,126,400,225,1,1,Mixed_Breed,0
78,2,0,2,2,3,0,1,1,1,1,2,1,0,41326,0,7,0.160227273,1,0,0,110,20,2.9,70,18,105,159,640,594,0,1,Mixed_Breed,0
79,2,0,1,3,0,0,1,2,2,2,2,1,0,41401,0,2,0,0,0,0,4,2,0.9,20,11,157,152,400,268,0,1,Mixed_Breed,0
80,1,0,2,1,2,0,2,1,2,2,2,1,0,41401,0,2,0.261111111,1,0,0,23,4,1.2,17,16,79,144,358,480,1,1,Mixed_Breed,0
81,2,0,2,6,7,0,2,1,2,1,2,1,0,41401,0,2,0.159962121,1,0,0,22,4,2.3,20,113,67,135,377,221,0,1,Mixed_Breed,0
82,1,0,2,2,0,0,2,1,1,1,2,1,0,41401,0,4,0.027833333,1,0,0,31,3,1,37,35,95,123,322,480,1,1,Mixed_Breed,0
83,2,0,2,1,7,0,2,1,1,1,2,1,0,41401,0,5,0.116879218,1,0,0,321,59,5.2,43,52,60,136,400,300,0,1,Mixed_Breed__Tuxedo,17
84,1,2,1,1,2,7,3,1,3,3,3,1,0,41401,0,3,0.10005291,1,0,0,176,25,-0.2,27,35,79,101,270,480,1,1,Mixed_Breed,0
85,1,0,2,2,0,0,2,1,2,2,2,1,0,41326,0,4,0.2625,1,0,0,36,8,0.9,38,28,112,144,225,300,1,1,Mixed_Breed,0
86,1,2,2,2,3,4,3,2,1,1,2,1,0,41326,0,4,0.164007937,1,0.3,1,134,19,2.2,38,46,96,147,640,479,0,0,Golden_Retriever,18
87,2,0,2,1,2,7,1,1,2,1,2,1,0,41326,0,3,0.233333333,1,0,0,11,5,0.9,27,95,49,123,422,479,1,1,Mixed_Breed,0
88,2,2,1,3,0,0,2,2,1,1,2,1,0,41326,0,0,0.189583333,1,0,0,17,4,1.3,0,-1,-1,-1,-1,-1,1,0,Persian,4
89,2,0,2,2,5,7,2,1,2,1,3,1,0,41326,0,4,0,0,0,0,-1,-1,-1,39,77,56,95,570,480,0,1,Mixed_Breed,0
90,1,2,1,1,5,0,3,1,1,1,1,1,0,41326,0,4,0.242770112,1,0,0,286,49,6.4,32,44,114,120,375,325,0,0,Rottweiler,6
91,1,2,1,1,6,7,2,2,1,2,2,1,25,41332,0,1,0.243016632,1,0,0,208,44,3.1,10,54,59,120,271,479,0,0,Siberian_Husky,19
92,2,0,1,1,7,0,1,2,2,2,2,1,0,41326,1,1,-0.002083333,-1,0,0,31,6,1.2,9,65,50,148,300,400,0,1,Mixed_Breed,0
93,1,0,1,5,7,0,2,1,1,1,1,1,0,41401,0,6,0.416666667,1,0,0,14,4,1.3,50,64,62,143,333,366,1,0,Collie,20
94,1,2,2,1,2,0,2,2,3,3,3,1,0,41401,0,3,0.1,1,0,0,81,16,0.8,28,11,161,109,225,400,1,1,German_Shepherd_Dog__Mixed_Breed,21
95,1,0,1,2,0,0,2,2,1,1,2,1,0,41326,0,3,0.259722222,1,0,0,53,8,1.2,29,47,109,133,371,400,0,1,Mixed_Breed,0
96,1,0,2,1,0,0,2,1,2,1,2,1,0,41335,0,5,0.459090909,1,0,0,125,21,4.1,50,41,25,147,602,586,1,1,Mixed_Breed,0
97,2,1,1,2,5,0,2,1,1,1,2,1,5,41326,0,8,0.345833333,1,0.6,1,40,6,2.6,80,58,60,132,398,312,0,1,Siamese__Mixed_Breed,22
