,PetID,Description_SIZE,Description_VALUABLE_SIZE,Description_SCORE,Object_SIZE,Object_COLOR_H,Object_COLOR_S,Object_COLOR_V,Image_WIDTH,Image_HEIGHT
0,86e1089a3,69,13,1.8,9,115,88,152,360,480
1,6296e909a,23,2,-0.5,17,38,98,94,349,388
2,3422e4906,69,13,1.4,68,18,68,135,357,342
3,5842f1ff5,25,6,0.9,77,15,75,142,375,325
4,850a43f90,81,13,3.5,29,38,86,155,516,444
5,d24c30b4b,18,2,-0.2,20,91,30,126,360,480
6,1caa6fcdb,78,19,0.5,30,31,79,93,400,300
7,97aa9eeac,20,3,0.4,85,46,46,109,344,355
8,c06d167ca,13,4,0.2,60,46,66,124,400,300
9,7a0942d61,45,4,0.8,20,46,63,128,455,496
10,8b693ca84,12,3,0.8,61,47,92,131,333,486
11,8e76c8e39,126,14,3.6,20,26,90,137,315,480
12,aaedd873d,49,6,2.3,9,84,55,141,300,400
13,4a9793dfb,96,21,2.4,5,77,35,126,640,475
14,c02be41e6,71,22,1.3,19,18,67,109,271,480
15,1fd342e17,68,15,1.7,20,21,53,154,359,480
16,b38a74866,8,0,0.9,10,43,55,128,300,400
17,f9d07d5fa,71,15,0.9,17,55,70,135,225,300
18,1c92ce464,139,23,0.6,80,76,53,105,325,375
19,b10e7605a,-1,-1,-1,10,79,66,113,200,400
20,6436c1a59,79,14,2,57,20,91,121,400,300
21,234a5a54c,14,2,0.6,36,53,101,133,365,300
22,1bc0f89d8,20,11,1.1,0,-1,-1,-1,-1,-1
23,1bf24d8be,65,11,1.5,0,-1,-1,-1,-1,-1
24,988988d5b,42,6,0.8,186,69,81,123,375,332
25,cf7d3eec0,64,10,2.1,30,22,148,152,300,400
26,85fc3c314,9,1,0.8,110,15,95,161,400,267
27,efbf1703a,19,4,0,16,15,68,147,360,480
28,7843a9dca,30,5,0.5,0,-1,-1,-1,-1,-1
29,d341fbfd6,54,11,1.1,10,52,146,140,400,400
30,1a76190c5,40,14,1.4,49,24,72,119,340,360
31,edb920079,-1,-1,-1,10,132,88,109,400,266
32,543130f60,56,7,2.1,10,75,78,148,480,480
33,9415bc79e,58,11,2.9,70,47,65,103,600,457
34,4c6fe4100,3,1,0,50,80,43,110,400,300
35,0737e4f11,4,2,0,50,53,113,124,399,341
