Unnamed: 0,Type,Age,Breed1,Breed2,Gender,Color1,Color2,Color3,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Fee,State,RescuerID,VideoAmt,PetID,PhotoAmt,AdoptionSpeed,DesSem,DesSemCat,NameSem,NameSemCat,combined_color_black,combined_color_black_brown,combined_color_black_brown_cream,combined_color_black_brown_golden,combined_color_black_brown_gray,combined_color_black_brown_white,combined_color_black_brown_yellow,combined_color_black_cream,combined_color_black_cream_gray,combined_color_black_cream_white,combined_color_black_golden,combined_color_black_golden_cream,combined_color_black_golden_gray,combined_color_black_golden_white,combined_color_black_golden_yellow,combined_color_black_gray,combined_color_black_gray_white,combined_color_black_white,combined_color_black_yellow,combined_color_black_yellow_cream,combined_color_black_yellow_gray,combined_color_black_yellow_white,combined_color_brown,combined_color_brown_cream,combined_color_brown_cream_gray,combined_color_brown_cream_white,combined_color_brown_golden,combined_color_brown_golden_cream,combined_color_brown_golden_gray,combined_color_brown_golden_white,combined_color_brown_golden_yellow,combined_color_brown_gray,combined_color_brown_gray_white,combined_color_brown_white,combined_color_brown_yellow,combined_color_brown_yellow_cream,combined_color_brown_yellow_gray,combined_color_brown_yellow_white,combined_color_cream,combined_color_cream_gray,combined_color_cream_gray_white,combined_color_cream_white,combined_color_golden,combined_color_golden_cream,combined_color_golden_cream_gray,combined_color_golden_cream_white,combined_color_golden_gray,combined_color_golden_gray_white,combined_color_golden_white,combined_color_golden_yellow,combined_color_golden_yellow_cream,combined_color_golden_yellow_gray,combined_color_golden_yellow_white,combined_color_gray,combined_color_gray_white,combined_color_white,combined_color_yellow,combined_color_yellow_cream,combined_color_yellow_cream_gray,combined_color_yellow_cream_white,combined_color_yellow_gray,combined_color_yellow_gray_white,combined_color_yellow_white
3946,1,255,307,0,1,2,7,0,2,2,3,3,3,1,0,41330,94fdeec413a441bca0de9e9887edcc70,0,5971c2462,3,4,0.537083333,1,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8595,1,255,307,0,1,2,7,0,2,2,3,3,3,1,0,41330,94fdeec413a441bca0de9e9887edcc70,0,50682d0f1,1,4,0.537083333,1,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10337,1,238,307,0,1,7,0,0,2,1,1,1,1,1,0,41327,b39c5db7a450d0f3437ada1df3554db6,0,e01f077a7,10,4,0.445833333,1,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
3051,2,212,266,0,2,1,0,0,2,1,1,1,2,1,0,41330,60689896aa0edff3a4f05b890bdafd26,1,53923463d,13,3,-0.036666667,-1,0.0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9910,1,212,307,0,2,7,0,0,2,1,3,3,2,1,0,41401,bc7a5a6890cd94d4c24235a8ea07eb51,0,36d7fc2c5,1,4,0.147053872,1,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
6541,1,180,307,0,1,6,0,0,2,2,1,1,1,1,0,41327,2d0e544219a8337d666e8ab00944e04f,0,1d669183f,1,4,0.378571429,1,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
11288,2,180,265,0,1,1,7,0,2,2,1,1,1,1,0,41326,8f249aa58e29f16be754f494813c56df,0,bd006f963,1,3,0.007142857,1,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7132,1,168,69,0,1,3,0,0,2,3,3,3,3,1,0,41326,72da73fe3eec6c512cc04371f97760b5,0,e5ffc0a9d,5,3,0.345090909,1,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5775,1,156,307,0,2,1,2,0,2,2,1,1,3,1,0,41326,744fa4278196568a18fcf5cd7d324ed2,0,739cd2d34,1,2,0.087878788,1,0.0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8070,2,147,292,0,2,2,5,0,3,2,1,1,1,1,0,41326,f7588a9fc18d3d42dcfa631e586fa66d,0,7b8ea11de,1,1,0.168181818,1,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
