,Type,Age,Gender,Color1,Color2,Color3,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Fee,State,VideoAmt,PhotoAmt,DesSem,DesSemCat,NameSem,NameSemCat,Description_SIZE,Description_VALUABLE_SIZE,Description_SCORE,Object_SIZE,Object_COLOR_H,Object_COLOR_S,Object_COLOR_V,Image_WIDTH,Image_HEIGHT,AdoptionSpeed,Breed1_name,Breed2_name,Mixed,BreedName
0,2,0,1,1,7,0,1,1,2,2,2,1,10,41326,0,1,0.130357143,1,0,0,69,13,1.8,9,115,88,152,360,480,0,Tabby,No_Breed,FALSE,Tabby
1,2,0,1,1,2,0,2,2,3,3,3,1,0,41401,0,2,0.1,1,0,0,23,2,-0.5,17,38,98,94,349,388,0,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
2,1,0,1,2,7,0,2,2,1,1,2,1,0,41326,0,7,0.261904762,1,0,0,69,13,1.4,68,18,68,135,357,342,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
3,1,0,2,1,2,0,2,1,1,1,2,1,15,41401,0,8,0.341145833,1,0,0,25,6,0.9,77,15,75,142,375,325,0,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
4,1,0,1,1,0,0,2,1,2,2,2,1,0,41326,0,3,0.4,1,0,0,81,13,3.5,29,38,86,155,516,444,0,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
5,2,0,2,5,6,0,2,1,2,2,2,1,0,41326,0,2,0,0,0,0,18,2,-0.2,20,91,30,126,360,480,0,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
6,2,2,1,1,0,0,2,3,2,2,3,1,25,41326,0,3,0.25,1,0,0,78,19,0.5,30,31,79,93,400,300,0,Mixed_Breed,Mixed_Breed,TRUE,Mixed_Breed
7,2,0,2,6,0,0,2,2,2,2,2,1,0,41326,0,6,0.038888889,1,0,0,13,4,0.2,60,46,66,124,400,300,0,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
8,2,2,2,1,7,0,2,2,3,3,3,1,0,41326,0,2,0.21375,1,0,0,45,4,0.8,20,46,63,128,455,496,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
9,1,0,1,1,2,7,2,1,2,1,2,1,0,41401,0,7,0.138888889,1,0,0,12,3,0.8,61,47,92,131,333,486,0,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
10,2,0,2,1,2,5,3,3,1,1,2,1,5,41326,0,2,0.065798319,1,0,0,126,14,3.6,20,26,90,137,315,480,0,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
11,1,0,1,2,5,6,2,3,1,1,2,1,0,41326,0,1,0.408333333,1,0,0,49,6,2.3,9,84,55,141,300,400,0,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
12,1,0,2,2,5,7,2,2,3,3,3,1,0,41401,0,2,0.166666667,1,0,0,71,22,1.3,19,18,67,109,271,480,0,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
13,1,2,1,1,7,0,2,2,3,3,3,1,0,41326,0,2,0.502083333,1,0,0,68,15,1.7,20,21,53,154,359,480,1,Terrier,Shih_Tzu,FALSE,Terrier
14,2,1,2,2,0,0,1,1,1,1,1,1,0,41326,0,1,0.4375,1,0,0,8,0,0.9,10,43,55,128,300,400,1,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
15,1,1,2,2,0,0,2,1,2,1,1,1,1,41330,0,2,0.213333333,1,0,0,71,15,0.9,17,55,70,135,225,300,1,Mixed_Breed,Mixed_Breed,TRUE,Mixed_Breed
16,1,0,2,1,0,0,2,1,2,1,2,1,0,41401,0,8,0.300595238,1,0,0,139,23,0.6,80,76,53,105,325,375,0,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
17,1,2,2,2,7,0,2,2,2,1,1,1,0,41326,0,7,0.427777778,1,0,0,79,14,2,57,20,91,121,400,300,0,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
18,1,1,2,1,2,7,2,2,1,1,1,1,0,41326,0,0,0.191666667,1,0,0,65,11,1.5,0,-1,-1,-1,-1,-1,1,Mixed_Breed,Hound,TRUE,Mixed_Breed__Hound
19,2,0,1,2,7,0,1,1,2,1,2,1,0,41401,0,19,0.75,1,0,0,42,6,0.8,186,69,81,123,375,332,0,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
20,2,2,1,3,0,0,3,2,1,1,1,1,0,41326,0,3,0.160396825,1,0,0,64,10,2.1,30,22,148,152,300,400,0,Persian,British_Shorthair,FALSE,Persian
21,2,0,1,3,0,0,2,2,2,2,2,1,0,41401,0,11,0.35,1,0,0,9,1,0.8,110,15,95,161,400,267,0,Persian,Mixed_Breed,TRUE,Persian__Mixed_Breed
22,2,0,2,1,0,0,2,1,2,2,2,1,0,41326,0,2,0.5,1,0,0,19,4,0,16,15,68,147,360,480,0,Mixed_Breed,No_Breed,TRUE,Mixed_Breed
